"TITLE","DOI","ONLINEISSN","PRINTISSN","HOME","PUBLISHED"
The Blackwell Handbook of Strategic Management,"10.1111/b.9780631218616.2006.x","9781405164023",,HOME CREATED,NOT PUBLISHED
A Companion to Twentieth-Century United States Fiction,"10.1002/9781444310108","9781405197434",,HOME CREATED,NOT PUBLISHED
The Encyclopedia of Ancient History,"10.1002/9781119399919","9781119399919",,HOME CREATED,PUBLISHED
The Maudsley Prescribing Guidelines in Psychiatry,"10.1002/9781119870203","9781119870203",,HOME CREATED,PUBLISHED
Macromolecular Engineering,"10.1002/9783527815562","9783527815562",,HOME CREATED,PUBLISHED
Handbook of Pyrrolidone and Caprolactam Based Materials,"10.1002/9781119468769","9781119468769",,HOME CREATED,PUBLISHED
The Encyclopedia of Philosophy of Religion,"10.1002/9781119009924","9781119009924",,HOME CREATED,PUBLISHED
IFT Food Science & Nutrition Online,"10.1002/9781119807490","9781119807490",,NO HOME,NOT PUBLISHED
A Companion to Aesthetics,"10.1002/9781444310436","9781405164627",,NO HOME,NOT PUBLISHED
"Handbook of Applied Econometrics, Volume 1","10.1111/b.9780631215585.1999.x","9781405166423",,NO HOME,NOT PUBLISHED
The Handbook of Phonetic Sciences,"10.1002/9781444317251","9781444331585",,NO HOME,NOT PUBLISHED
The Blackwell Companion to Contemporary Islamic Thought,"10.1002/9780470996188","9781405164269",,NO HOME,NOT PUBLISHED
The Blackwell Guide to the Philosophy of Law and Legal Theory,"10.1002/9780470690116","9781405164696",,NO HOME,NOT PUBLISHED
The Wiley-Blackwell Handbook of Childhood Cognitive Development,"10.1002/9781444325485","9781444331776",,NO HOME,NOT PUBLISHED
The Blackwell Companion to The New Testament,"10.1002/9781444318937","9781405197250",,NO HOME,NOT PUBLISHED
A Companion to Byzantium,"10.1002/9781444320015","9781405197366",,NO HOME,NOT PUBLISHED
A Companion to Bioethics,"10.1002/9781444307818","9781405165617",,NO HOME,NOT PUBLISHED
A Companion to Philosophy of Law and Legal Theory,"10.1002/9781444320114","9781444331738",,NO HOME,NOT PUBLISHED
A Companion to Epistemology,"10.1111/j.1468-0149.1994.tb02430.x","9781405164610",,NO HOME,NOT PUBLISHED
A Companion to Chaucer,"10.1002/9780470693469","9781405165259",,NO HOME,NOT PUBLISHED
A Companion to Philosophy of Religion,"10.1002/9781444320152","9781405197106",,NO HOME,NOT PUBLISHED
"Handbook of Applied Econometrics, Volume 2","10.1111/b.9780631216339.1999.x","9781405166416",,NO HOME,NOT PUBLISHED
"John Wilmot, Earl of Rochester","10.1111/b.9781118438794.2013.x","9781118519363",,HOME CREATED,PUBLISHED
Analytical Separation Science,"10.1002/9783527678129","9783527678129",,HOME CREATED,NOT PUBLISHED
The Encyclopedia of Women and Crime,"10.1002/9781118929803","9781118929803",,HOME CREATED,NOT PUBLISHED
The Wiley-Blackwell Encyclopedia of Literature,"10.1002/9781118335949","9781118335949",,NO HOME,NOT PUBLISHED
The Wiley-Blackwell Encyclopedia of Urban and Regional Studies,"10.1002/9781118568446","9781118568446",,NO HOME,PUBLISHED
The International Studies Encyclopedia,"10.1111/b.9781444336597.2010.x","9781444336597",,HOME CREATED,PUBLISHED
The Companion to Syntax,"10.1002/9781118358733","9781118358733",,HOME CREATED,NOT PUBLISHED
Microscopic Anatomy of the Animals,"10.1002/9781118158036","9781118158036",,HOME CREATED,PUBLISHED
The Handbook of Intercultural Discourse and Communication,"10.1002/9781444354348","9781444354348",,HOME CREATED,NOT PUBLISHED
"The Dictionary of Genomics, Transcriptomics and Proteomics","10.1002/9783527678679","9783527678679",,HOME CREATED,NOT PUBLISHED
European Microscopy Congress 2016: Proceedings,"10.1002/9783527808465","9783527808465",,NO HOME,NOT PUBLISHED
Rook's Textbook of Dermatology,"10.1002/9781118441213","9781118441213",,HOME CREATED,NOT PUBLISHED
The Wiley Handbook of Violence and Aggression,"10.1002/9781119057574","9781119057574",,HOME CREATED,NOT PUBLISHED
The International Encyclopedia of Linguistic Anthropology,"10.1002/9781118786093","9781118786093",,HOME CREATED,NOT PUBLISHED
The International Encyclopedia of Media Psychology,"10.1002/9781119011071","9781119011071",,HOME CREATED,NOT PUBLISHED
A Companion to Contemporary Political Philosophy,"10.1111/j.1468-0149.1995.tb02471.x","9781405164580",,NO HOME,NOT PUBLISHED
The Handbook of Education and Human Development,"10.1111/b.9780631211860.1998.x","9781405166096",,NO HOME,NOT PUBLISHED
A Companion to Metaphysics,"10.1002/9781444308525","9781405164603",,NO HOME,NOT PUBLISHED
Blackwell Handbook of Childhood Cognitive Development,"10.1002/9780470996652","9781405165952",,NO HOME,NOT PUBLISHED
The Blackwell Guide to Ethical Theory,"10.1111/b.9780631201199.1999.x","9781405164849",,NO HOME,NOT PUBLISHED
The Wiley?Blackwell Encyclopedia of Social and Political Movements,"10.1002/9780470674871","9780470674871","9781405197731",HOME CREATED,NOT PUBLISHED
The International Encyclopedia of Media Studies,"10.1002/9781444361506","9781444361506","9781405193566",HOME CREATED,NOT PUBLISHED
The Encyclopedia of War,"10.1002/9781444338232","9781444338232","9781405190374",HOME CREATED,NOT PUBLISHED
Wiley Encyclopedia of Forensic Science,"10.1002/9780470061589","9780470061589","9780470018262",HOME CREATED,NOT PUBLISHED
The Internet Encyclopedia,"10.1002/047148296X","9780471482963",,HOME CREATED,NOT PUBLISHED
Encyclopedia of Computational Mechanics,"10.1002/0470091355","9780470091357","9780470846995",HOME CREATED,NOT PUBLISHED
eLS,"10.1002/047001590X","9780470015902","9780470016176",HOME CREATED,PUBLISHED
Current Protocols in Protein Science,"10.1002/0471140864","9780471140863",,NO HOME,PUBLISHED
Current Protocols in Cell Biology,"10.1002/0471143030","9780471143031",,NO HOME,PUBLISHED
Current Protocols in Pharmacology,"10.1002/0471141755","9780471141754",,NO HOME,PUBLISHED
Current Protocols in Cytometry,"10.1002/0471142956","9780471142959",,NO HOME,PUBLISHED
Current Protocols in Stem Cell Biology,"10.1002/9780470151808","9780470151808",,NO HOME,PUBLISHED
Current Protocols Essential Laboratory Techniques,"10.1002/9780470089941","9780470089941",,NO HOME,PUBLISHED
Current Protocols in Nucleic Acid Chemistry,"10.1002/0471142700","9780471142706",,NO HOME,PUBLISHED
Current Protocols in Toxicology,"10.1002/0471140856","9780471140856",,NO HOME,PUBLISHED
Current Protocols in Immunology,"10.1002/0471142735","9780471142737",,NO HOME,PUBLISHED
